"name","orig_name","state","county1","orig_county","established","discontinued","continuous","stamp_index","id","coordinates","duration","gnis_match","gnis_name","gnis_county","gnis_state","gnis_feature_id","gnis_feature_class","gnis_orig_name","gnis_orig_county","gnis_latitude","gnis_longitude","gnis_elev_in_m","gnis_dist","latitude","longitude","duration_category"
"INGETON","INGETON","AL","COLBERT","Colbert",1886,1901,TRUE,5,28485,TRUE,15,TRUE,"INGLETON","COLBERT","AL",169270,"Post Office","Ingleton Post Office (historical)","Colbert",34.7870338,-88.0139259,165,0.857142857142857,34.7870338,-88.0139259,"1-50"
"INTERLACHEN","INTERLACHEN","FL","PUTNAM","Putnam",1881,NA,TRUE,0,28551,TRUE,150,TRUE,"INTERLACHEN","PUTNAM","FL",2417191,"Post Office","Interlachen Post Office","Putnam",29.6290348,-81.8766817,25,1,29.6290348,-81.8766817,">=100"
"IRELAND","IRELAND","MS","WILKINSON","Wilkinson",1904,1923,TRUE,3,28623,TRUE,19,TRUE,"IRELAND","WILKINSON","MS",693589,"Populated Place","Ireland","Wilkinson",31.347114,-91.2226086,35,1,31.347114,-91.2226086,"1-50"
"IRONS","IRONS","SC","COLLETON","Colleton",1880,1880,TRUE,8,28687,TRUE,0,TRUE,"IRONS","COLLETON","SC",1246126,"Populated Place","Irons","Colleton",32.8729515,-80.4887135,10,1,32.8729515,-80.4887135,"<=1"
"ISELIN","ISELIN","PA","INDIANA","Indiana",1904,1960,TRUE,1,28747,TRUE,56,TRUE,"ISELIN","INDIANA","PA",1177876,"Populated Place","Iselin","Indiana",40.5595104,-79.386429,371,1,40.5595104,-79.386429,"50-100"
"ISOM'S STORE","ISOM'S STORE","TN","MAURY","Maury",1826,1894,TRUE,4,28807,TRUE,68,TRUE,"ISOMS STORE","MAURY","TN",1306609,"Populated Place","Isoms Store","Maury",35.6328498,-87.304456,172,1,35.6328498,-87.304456,"50-100"
"IVY LOG","IVY LOG","GA","UNION","Union",1842,1910,TRUE,4,28873,TRUE,68,TRUE,"IVY LOG","UNION","GA",332075,"Populated Place","Ivy Log","Union",34.9620286,-84.0587988,573,1,34.9620286,-84.0587988,"50-100"
"JACKSON","JACKSON","NY","WASHINGTON","Washington",1816,1865,TRUE,5,28933,TRUE,49,TRUE,"JACKSON","WASHINGTON","NY",979101,"Civil","Town of Jackson","Washington",43.0875269,-73.377814,191,1,43.0875269,-73.377814,"1-50"
"JACKSONVILLE","JACKSONVILLE","GA","TELFAIR","Telfair",1829,NA,TRUE,0,28989,TRUE,150,TRUE,"JACKSONVILLE","TELFAIR","GA",2792434,"Post Office","Jacksonville Post Office","Telfair",31.8129739,-82.9782023,65,1,31.8129739,-82.9782023,">=100"
"JAMES","JAMES","AL","BULLOCK","Bullock",1881,1921,TRUE,3,29053,TRUE,40,TRUE,"JAMES","BULLOCK","AL",135231,"Locale","James (historical)","Bullock",32.0709869,-85.5193887,152,1,32.0709869,-85.5193887,"1-50"
"JAMONIA","JAMONIA","FL","LEON","Leon",1860,1879,TRUE,6,29100,TRUE,19,TRUE,"IAMONIA","LEON","FL",295372,"Populated Place","Iamonia","Leon",30.6682521,-84.1635084,54,0.857142857142857,30.6682521,-84.1635084,"1-50"
"JAYVILLA","JAYVILLA","AL","CONECUH","Conecun",1870,1894,TRUE,6,29171,TRUE,24,TRUE,"JAY VILLA","CONECUH","AL",133129,"Populated Place","Jay Villa","Conecuh",31.3654462,-86.945527,76,0.875,31.3654462,-86.945527,"1-50"
"JEFFERSON CITY","JEFFERSON CITY","TN","JEFFERSON","Jefferson",1901,NA,TRUE,0,29221,TRUE,150,TRUE,"JEFFERSON CITY","JEFFERSON","TN",1651018,"Post Office","Jefferson City Post Office","Jefferson",36.1257092,-83.4918111,346,1,36.1257092,-83.4918111,">=100"
"JENNERTOWN","JENNERTOWN","PA","SOMERSET","Somerset",1854,1858,TRUE,7,29284,TRUE,4,TRUE,"JENNERTOWN","SOMERSET","PA",1178041,"Populated Place","Jennertown","Somerset",40.1597979,-79.066417,594,1,40.1597979,-79.066417,"1-50"
"JERSEY SHORE","JERSEY SHORE","PA","LYCOMING","Lycoming",1805,NA,TRUE,0,29350,TRUE,150,TRUE,"JERSEY SHORE","LYCOMING","PA",2772764,"Post Office","Jersey Shore Post Office","Lycoming",41.2029337,-77.2549337,166,1,41.2029337,-77.2549337,">=100"
"JIM THORPE","JIM THORPE","PA","CARBON","Carbon",1954,NA,TRUE,0,29415,TRUE,150,TRUE,"JIM THORPE","CARBON","PA",2773169,"Post Office","Jim Thorpe Post Office","Carbon",40.8642699,-75.7369547,165,1,40.8642699,-75.7369547,">=100"
"JOHNSON CITY","JOHNSON CITY","NY","BROOME","Broome",1915,NA,TRUE,0,29486,TRUE,150,TRUE,"JOHNSON CITY","BROOME","NY",2598378,"Post Office","Johnson City Post Office","Broome",42.1162365,-75.9580128,267,1,42.1162365,-75.9580128,">=100"
"JOLLY","JOLLY","GA","PIKE","Pike",1887,1910,FALSE,4,29548,TRUE,23,TRUE,"JOLLY","PIKE","GA",326346,"Populated Place","Jolly","Pike",33.1223452,-84.3899229,268,1,33.1223452,-84.3899229,"1-50"
"JONESBORO","JONESBORO(UGH)","MS","TIPPAH","Tippah",1852,1908,TRUE,4,29607,TRUE,56,TRUE,"JONESBORO","TIPPAH","MS",706044,"Locale","Jonesboro","Tippah",34.9270351,-88.8531136,162,1,34.9270351,-88.8531136,"50-100"
"JORDON'S SPRING","JORDON'S SPRING","TN","MONTGOMERY","Montgomery",1853,1908,FALSE,4,29673,TRUE,55,TRUE,"JORDANS SPRINGS","MONTGOMERY","TN",1311522,"Populated Place","Jordans Springs","Montgomery",36.5944932,-87.5611245,180,0.857142857142857,36.5944932,-87.5611245,"50-100"
"JULESBURG","JULESBURG","MO","SCHUYLER","Schuyler",1883,1906,TRUE,5,29749,TRUE,23,TRUE,"JULESBURG","SCHUYLER","MO",738035,"Populated Place","Julesburg","Schuyler",40.461695,-92.6060252,298,1,40.461695,-92.6060252,"1-50"
"JUPITER","JUPITER","MS","SIMPSON","Simpson",1886,1901,TRUE,5,29819,TRUE,15,TRUE,"JUPITER","SIMPSON","MS",672064,"Church","Jupiter Church","Simpson",31.9562678,-89.9345243,106,NA,31.9562678,-89.9345243,"1-50"
"KARTAH","KARTAH","GA","CHATTOOGA","Chattooga",1886,1903,FALSE,5,29882,TRUE,17,TRUE,"KARTAH","CHATTOOGA","GA",332129,"Populated Place","Kartah","Chattooga",34.4478655,-85.2485646,205,1,34.4478655,-85.2485646,"1-50"
"KEARNEY","KEARNEY","AR","JEFFERSON","Jefferson",1888,1912,TRUE,4,29937,TRUE,24,TRUE,"KEARNEY","JEFFERSON","AR",58006,"Populated Place","Kearney","Jefferson",34.4131512,-92.1720911,108,1,34.4131512,-92.1720911,"1-50"
"KEENERS","KEENERS","MO","WAYNE","Wayne",1877,1879,TRUE,7,29995,TRUE,2,TRUE,"KEENER","WAYNE","MO",750563,"Populated Place","Keener","Wayne",36.9292197,-90.5251148,127,0.857142857142857,36.9292197,-90.5251148,"1-50"
"KELLY","KELLY","GA","JASPER","Jasper",1900,1974,TRUE,1,30062,TRUE,74,TRUE,"KELLY","JASPER","GA",328378,"Populated Place","Kelly","Jasper",33.4404026,-83.6193396,210,1,33.4404026,-83.6193396,"50-100"
"KENBERMA","KENBERMA","MA","PLYMOUTH","Plymouth",1910,1957,TRUE,1,30121,TRUE,47,TRUE,"KENBERMA","PLYMOUTH","MA",614099,"Populated Place","Kenberma","Plymouth",42.283433,-70.8744899,3,1,42.283433,-70.8744899,"1-50"
"KENNEDYVILLE","KENNEDYVILLE","PA","TIOGA","Tioga",1883,1884,TRUE,6,30177,TRUE,1,TRUE,"KEENEYVILLE","TIOGA","PA",1178293,"Populated Place","Keeneyville","Tioga",41.8606283,-77.3046993,372,0.833333333333333,41.8606283,-77.3046993,"<=1"
"KENWOOD","KENWOOD","NY","ALBANY","Albany",1851,1854,TRUE,8,30239,TRUE,3,TRUE,"KENWOOD","ALBANY","NY",972685,"Populated Place","Kenwood","Albany",42.6236907,-73.7731769,9,1,42.6236907,-73.7731769,"1-50"
"KETCHAM'S CORNERS","KETCHAM'S CORNERS","NY","SARATOGA","Saratoga",1818,1860,TRUE,4,30296,TRUE,42,TRUE,"KETCHAM'S CORNERS","SARATOGA","NY",954560,"Populated Place","Ketcham's Corners","Saratoga",43.0100759,-73.6945628,123,1,43.0100759,-73.6945628,"1-50"
"KEYSVILLE","KEYSVILLE","FL","HILLSBOROUGH","Hillsboro",1878,1956,TRUE,1,30348,TRUE,78,TRUE,"KEYSVILLE","HILLSBOROUGH","FL",285093,"Populated Place","Keysville","Hillsborough",27.8691931,-82.0956424,29,1,27.8691931,-82.0956424,"50-100"
"KILLINGER","KILLINGER","PA","DAUPHIN","Dauphin",1862,1907,TRUE,4,30419,TRUE,45,TRUE,"KILLINGER","DAUPHIN","PA",1178451,"Populated Place","Killinger","Dauphin",40.5623069,-76.9227534,169,1,40.5623069,-76.9227534,"1-50"
"KINCAID","KINCAID","GA","CHATTOOGA","Chattooga",1890,1906,FALSE,4,30473,TRUE,16,TRUE,"KINCAID","CHATTOOGA","GA",328195,"Populated Place","Kincaid","Chattooga",34.3520347,-85.3724567,213,1,34.3520347,-85.3724567,"1-50"
"KINGSBOROUGH","KINGSBOROUGH","NY","FULTON","Fulton",1825,1887,TRUE,6,30538,TRUE,62,TRUE,"KINGSBOROUGH","FULTON","NY",954676,"Populated Place","Kingsborough","Fulton",43.0672949,-74.3412468,274,1,43.0672949,-74.3412468,"50-100"
"KINGWOOD","KINGWOOD","NJ","HUNTERDON","Hunterdon",1827,1909,TRUE,3,30584,TRUE,82,TRUE,"KINGWOOD","HUNTERDON","NJ",877584,"Populated Place","Kingwood","Hunterdon",40.4698261,-75.0190585,144,1,40.4698261,-75.0190585,"50-100"
"KIRKS MILLS","KIRK(')S MILLS","PA","LANCASTER","Lancaster",1812,1914,TRUE,3,30646,TRUE,102,TRUE,"KIRKS MILLS","LANCASTER","PA",1214444,"Post Office","Kirks Mills Post Office (historical)","Lancaster",39.7553847,-76.1060615,92,1,39.7553847,-76.1060615,">=100"
"KISTLER","KISTLER","PA","PERRY","Perry",1884,1905,TRUE,4,30705,TRUE,21,TRUE,"KISTLER","PERRY","PA",1178560,"Populated Place","Kistler","Perry",40.3895264,-77.4338765,207,1,40.3895264,-77.4338765,"1-50"
"KNAUERS","KNAUER(')S","PA","BERKS","Berks",1856,1905,TRUE,4,30767,TRUE,49,TRUE,"KNAUERS","BERKS","PA",1178600,"Populated Place","Knauers","Berks",40.2467588,-75.9974378,236,1,40.2467588,-75.9974378,"1-50"
"KNOWLTON","KNOWLTON (1)","NJ","WARREN","Warren",1826,1846,TRUE,6,30830,TRUE,20,TRUE,"KNOWLTON","WARREN","NJ",877607,"Populated Place","Knowlton","Warren",40.9303752,-75.027952,214,1,40.9303752,-75.027952,"1-50"
"KOLLOCK","KOLLOCK","SC","MARLBORO","Marlboro",1888,1944,FALSE,2,30888,TRUE,56,TRUE,"KOLLOCK","MARLBORO","SC",1251311,"Populated Place","Kollock","Marlboro",34.7201566,-79.8414522,46,1,34.7201566,-79.8414522,"50-100"
"KRUMSVILLE","KRUMSVILLE","PA","BERKS","Berks",1885,1920,TRUE,3,30951,TRUE,35,TRUE,"KRUMSVILLE","BERKS","PA",1178696,"Populated Place","Krumsville","Berks",40.5787052,-75.7971404,230,1,40.5787052,-75.7971404,"1-50"
"LA FAYETTE COURT  HOUSE","LA FAYETTE COURT  HOUSE","AR","LAFAYETTE","Lafayette",1828,1846,TRUE,5,31014,TRUE,18,TRUE,"LAFAYETTE COURT HOUSE","LAFAYETTE","AR",77484,"Populated Place","Lafayette Court House","Lafayette",33.3584583,-93.5776771,89,0.91304347826087,33.3584583,-93.5776771,"1-50"
"LACEWOOD","LACEWOOD","MS","YALOBUSHA","Yalobusha",1904,1907,TRUE,6,31066,TRUE,3,TRUE,"GATEWOOD","YALOBUSHA","MS",693286,"Populated Place","Gatewood","Yalobusha",33.9748348,-89.7645322,96,0.75,33.9748348,-89.7645322,"1-50"
"LADY LAKE","LADY LAKE","FL","LAKE","Lake",1883,NA,TRUE,0,31117,TRUE,150,TRUE,"LADY LAKE","LAKE","FL",2048126,"Post Office","Lady Lake Post Office","Lake",28.9337275,-81.9275639,31,1,28.9337275,-81.9275639,">=100"
"LAIDLAW","LAIDLAW","NY","CATTARAUGUS","Cattaraugus",1890,1903,TRUE,6,31169,TRUE,13,TRUE,"LAIDLAW","CATTARAUGUS","NY",972700,"Populated Place","Laidlaw","Cattaraugus",42.3975641,-78.4083518,549,1,42.3975641,-78.4083518,"1-50"
"LAKE CREEK","LAKE CREEK","MO","BENTON","Benton",1862,1895,TRUE,4,31227,TRUE,33,TRUE,"LAKE CREEK","BENTON","MO",729760,"Populated Place","Lake Creek","Benton",38.5114093,-93.1335359,297,1,38.5114093,-93.1335359,"1-50"
"LAKE PARK","LAKE PARK","GA","LOWNDES","Lowndes",1890,NA,FALSE,0,31285,TRUE,150,TRUE,"LAKE PARK","LOWNDES","GA",2792510,"Post Office","Lake Park Post Office","Lowndes",30.6843772,-83.2108803,52,1,30.6843772,-83.2108803,">=100"
"LAKELAND","LAKELAND","NY","SUFFOLK","Suffolk",1851,1870,TRUE,3,31342,TRUE,19,TRUE,"LAKELAND","SUFFOLK","NY",954916,"Populated Place","Lakeland","Suffolk",40.8528761,-73.1151102,36,1,40.8528761,-73.1151102,"1-50"
"LAKEWOOD","LAKEWOOD (2)","ME","SOMERSET","Somerset",1841,1967,TRUE,2,31392,TRUE,126,TRUE,"LAKEWOOD","SOMERSET","ME",569332,"Populated Place","Lakewood","Somerset",44.831449,-69.7781091,104,1,44.831449,-69.7781091,">=100"
"LAMKINS","LAMKINS","GA","COLUMBIA","Columbia",1886,1899,FALSE,5,31455,TRUE,13,TRUE,"LAMKIN","COLUMBIA","GA",332179,"Populated Place","Lamkin","Columbia",33.5143024,-82.0976184,119,0.857142857142857,33.5143024,-82.0976184,"1-50"
"LAND O LAKES","LAND O LAKES","FL","PASCO","Pasco",1950,NA,TRUE,0,31515,TRUE,150,TRUE,"LAND O LAKES","PASCO","FL",2485501,"Post Office","Land O Lakes Post Office","Pasco",28.2341772,-82.4581264,24,1,28.2341772,-82.4581264,">=100"
"LANESBORO","LANESBORO","MA","BERKSHIRE","Berkshire",1801,NA,FALSE,0,31572,TRUE,150,TRUE,"LANESBORO","BERKSHIRE","MA",1978800,"Post Office","Lanesboro Post Office","Berkshire",42.5006628,-73.2369219,340,1,42.5006628,-73.2369219,">=100"
"LANNSDALE","LANNSDALE","MS","MONROE","Monroe",1870,1871,TRUE,9,31643,TRUE,1,TRUE,"LANNSDALE","MONROE","MS",678059,"Populated Place","Lannsdale","Monroe",33.9689964,-88.2686499,104,1,33.9689964,-88.2686499,"<=1"
"LARIMER","LARIMER","PA","WESTMORELAND","Westmoreland",1892,NA,TRUE,0,31698,TRUE,150,TRUE,"LARIMER","WESTMORELAND","PA",2773177,"Post Office","Larimer Post Office","Westmoreland",40.3440434,-79.7251326,262,1,40.3440434,-79.7251326,">=100"
"LATHAM","LATHAM","NY","ALBANY","Albany",1899,NA,FALSE,0,31758,TRUE,150,TRUE,"LATHAM","ALBANY","NY",2795477,"Post Office","Latham Post Office","Albany",42.7385323,-73.7776165,91,1,42.7385323,-73.7776165,">=100"
"LAUREL COVE","LAUREL COVE","TN","VAN BUREN","Van Buren",1852,1853,TRUE,9,31821,TRUE,1,TRUE,"LAUREL COVE","VAN BUREN","TN",1312067,"Populated Place","Laurel Cove (historical)","Van Buren",35.733956,-85.5110872,281,1,35.733956,-85.5110872,"<=1"
"LAVENDER","LAVENDER","GA","FLOYD","Floyd",1889,1910,FALSE,4,31872,TRUE,21,TRUE,"LAVENDER","FLOYD","GA",328452,"Populated Place","Lavender","Floyd",34.2920366,-85.3410667,195,1,34.2920366,-85.3410667,"1-50"
"LAWRY","LAWRY","ME","KNOX","Knox",1894,1953,TRUE,1,31925,TRUE,59,TRUE,"LAWRY","KNOX","ME",569409,"Populated Place","Lawry","Knox",44.0056372,-69.343103,42,1,44.0056372,-69.343103,"50-100"
"LEACH","LEACH","TN","CARROLL","Carroll",1880,1986,TRUE,1,31991,TRUE,106,TRUE,"LEACH","CARROLL","TN",1290854,"Populated Place","Leach","Carroll",35.9328416,-88.4872747,172,1,35.9328416,-88.4872747,">=100"
"LEAVITTS HILL","LEAVITT(')S HILL","NH","ROCKINGHAM","Rockingham",1886,1963,TRUE,1,32055,TRUE,77,TRUE,"LEAVITTS HILL","ROCKINGHAM","NH",867975,"Populated Place","Leavitts Hill","Rockingham",43.1198052,-71.2903423,132,1,43.1198052,-71.2903423,"50-100"
"LEDUC","LEDUC","MO","GASCONADE","Gasconade",1875,1895,TRUE,5,32114,TRUE,20,TRUE,"LEDUC","GASCONADE","MO",738903,"Populated Place","Leduc (historical)","Gasconade",38.199212,-91.5934927,271,1,38.199212,-91.5934927,"1-50"
"LEEMON","LEEMON","MO","CAPE GIRARDEAU","Cape Girardeau",1875,1905,TRUE,5,32161,TRUE,30,TRUE,"LEEMON","CAPE GIRARDEAU","MO",720893,"Populated Place","Leemon","Cape Girardeau",37.4642165,-89.5884297,126,1,37.4642165,-89.5884297,"1-50"
"LEGIONVILLE","LEGIONVILLE","PA","BEAVER","Beaver",1889,1905,TRUE,5,32215,TRUE,16,TRUE,"LEGIONVILLE","BEAVER","PA",1170842,"Populated Place","Legionville","Beaver",40.623678,-80.2245047,262,1,40.623678,-80.2245047,"1-50"
"LELAND","LELAND","AR","CHICOT","Chicot",1907,1915,TRUE,5,32274,TRUE,8,TRUE,"LELAND","CHICOT","AR",58054,"Populated Place","Leland","Chicot",33.3723385,-91.1564988,38,1,33.3723385,-91.1564988,"1-50"
"LENOIRS","LENOIRS","TN","LOUDON","Loudon",1823,1892,TRUE,2,32329,TRUE,69,TRUE,"LENOIRS","LOUDON","TN",1649968,"Post Office","Lenoirs Post Office","Loudon",35.7923487,-84.2642767,241,1,35.7923487,-84.2642767,"50-100"
"LEONA","LEONA","FL","SUWANNEE","Suwannee",1897,1904,TRUE,5,32385,TRUE,7,TRUE,"LEONA","SUWANNEE","FL",285463,"Church","Leona Church","Suwannee",30.1246727,-82.8673496,31,NA,30.1246727,-82.8673496,"1-50"
"LESSLIE","LESSLIE","SC","YORK","York",1889,1959,TRUE,1,32453,TRUE,70,TRUE,"LESSLIE","YORK","SC",1223879,"Populated Place","Lesslie","York",34.890701,-80.9564659,214,1,34.890701,-80.9564659,"50-100"
"LEVICKS MILL","LEVICKS MILL","MO","RANDOLPH","Randolph",1872,1903,TRUE,5,32506,TRUE,31,TRUE,"LEVICKS MILL","RANDOLPH","MO",741011,"Populated Place","Levicks Mill","Randolph",39.5761467,-92.3465701,237,1,39.5761467,-92.3465701,"1-50"
"LEWISTOWN","LEWISTOWN","NJ","BURLINGTON","Burlington",1872,1915,TRUE,4,32564,TRUE,43,TRUE,"LEWISTOWN","BURLINGTON","NJ",883078,"Populated Place","Lewistown","Burlington",40.0062243,-74.6482132,26,1,40.0062243,-74.6482132,"1-50"
"LIBERTY","LIBERTY","AR","OUACHITA","Ouachita",1849,1906,FALSE,4,32612,TRUE,57,TRUE,"LIBERTY","OUACHITA","AR",58066,"Populated Place","Liberty","Ouachita",33.4045659,-92.8365512,71,1,33.4045659,-92.8365512,"50-100"
"LICLOG","LICLOG","GA","GILMER","Gilmer",1895,1928,FALSE,3,32677,TRUE,33,TRUE,"LICKLOG","GILMER","GA",1704696,"Populated Place","Licklog (historical)","Gilmer",34.598422,-84.3324207,558,0.833333333333333,34.598422,-84.3324207,"1-50"
"LILLY POND","LILLY POND","GA","GORDON","Gordon",1872,1910,FALSE,4,32755,TRUE,38,TRUE,"LILLY POND","GORDON","GA",332215,"Populated Place","Lilly Pond","Gordon",34.4339779,-84.9518876,201,1,34.4339779,-84.9518876,"1-50"
"LIMESTONE COVE","LIMESTONE COVE","TN","UNICOI","Unicoi",1852,1903,FALSE,5,32817,TRUE,51,TRUE,"LIMESTONE COVE","UNICOI","TN",1315402,"Populated Place","Limestone Cove","Unicoi",36.1809432,-82.2617996,723,1,36.1809432,-82.2617996,"50-100"
"LINCOLNVILLE","LINCOLNVILLE","PA","CRAWFORD","Crawford",1865,1918,TRUE,3,32868,TRUE,53,TRUE,"LINCOLNVILLE","CRAWFORD","PA",1179401,"Populated Place","Lincolnville","Crawford",41.7936684,-79.8381083,420,1,41.7936684,-79.8381083,"50-100"
"LINE CREEK","LINE CREEK","MS","WEBSTER","Webster",1847,1888,TRUE,6,32926,TRUE,41,TRUE,"LINE CREEK","WEBSTER","MS",685191,"Locale","Line Creek (historical)","Webster",33.6181753,-89.0278388,103,1,33.6181753,-89.0278388,"1-50"
"LINWOOD","LINWOOD","AL","PIKE","Pike",1869,1962,TRUE,1,32997,TRUE,93,TRUE,"LINWOOD","PIKE","AL",152077,"Populated Place","Linwood","Pike",31.9268218,-85.8641166,115,1,31.9268218,-85.8641166,"50-100"
"LITCHFIELD","LITCHFIELD","CT","LITCHFIELD","Litchfield",1792,NA,TRUE,0,33067,TRUE,150,TRUE,"LITCHFIELD","LITCHFIELD","CT",1932148,"Post Office","Litchfield Post Office","Litchfield",41.7462315,-73.1892888,329,1,41.7462315,-73.1892888,">=100"
"LITTLE GENESEE","LITTLE GENESEE","NY","ALLEGANY","Allegany",1828,NA,TRUE,0,33129,TRUE,150,TRUE,"LITTLE GENESEE","ALLEGANY","NY",2618003,"Post Office","Little Genesee Post Office","Allegany",42.0267778,-78.2063321,473,1,42.0267778,-78.2063321,">=100"
"LITTLEBY","LITTLEBY","MO","AUDRAIN","Audrain",1851,1882,FALSE,6,33199,TRUE,31,TRUE,"LITTLEBY","AUDRAIN","MO",729539,"Church","Littleby Church","Audrain",39.221984,-91.7746095,240,NA,39.221984,-91.7746095,"1-50"
"LIVINGSTON","LIVINGSTON","NY","COLUMBIA","Columbia",1805,NA,TRUE,0,33268,TRUE,150,TRUE,"LIVINGSTON","COLUMBIA","NY",2795478,"Post Office","Livingston Post Office","Columbia",42.1423805,-73.7787395,60,1,42.1423805,-73.7787395,">=100"
"LOCAL","LOCAL","AL","ESCAMBIA","Escambia",1903,1928,TRUE,1,33322,TRUE,25,TRUE,"LOCAL","ESCAMBIA","AL",168582,"Post Office","Local Post Office","Escambia",31.2029518,-87.461651,94,1,31.2029518,-87.461651,"1-50"
"LOCKVILLE","LOCKVILLE","GA","CARROLL","Carroll",1878,1883,TRUE,7,33380,TRUE,5,TRUE,"SACKVILLE","CARROLL","GA",349705,"School","Sackville School (historical)","Carroll",33.5589993,-85.1874472,359,0.777777777777778,33.5589993,-85.1874472,"1-50"
"LODGE CORNER","LODGE CORNER","AR","ARKANSAS","Arkansas",1945,1955,TRUE,1,33449,TRUE,10,TRUE,"LODGE CORNER","ARKANSAS","AR",51382,"Populated Place","Lodge Corner","Arkansas",34.300098,-91.5251248,58,1,34.300098,-91.5251248,"1-50"
"LOGANTOWN","LOGANTOWN","TN","UNICOI","Unicoi",1885,1902,TRUE,5,33514,TRUE,17,TRUE,"LOGANTON","UNICOI","TN",1640688,"Populated Place","Loganton (historical)","Unicoi",36.0495517,-82.5323621,605,0.888888888888889,36.0495517,-82.5323621,"1-50"
"LONE JACK","LONE JACK","MO","JACKSON","Jackson",1839,1966,FALSE,1,33577,TRUE,127,TRUE,"LONE JACK","JACKSON","MO",2782973,"Post Office","Lone Jack Post Office","Jackson",38.8729293,-94.1725925,310,1,38.8729293,-94.1725925,">=100"
"LONG ISLAND","LONG ISLAND","ME","CUMBERLAND","Cumberland",1878,NA,FALSE,0,33651,TRUE,150,TRUE,"LONG ISLAND","CUMBERLAND","ME",2768951,"Post Office","Long Island Post Office","Cumberland",43.689124,-70.1678916,7,1,43.689124,-70.1678916,">=100"
"LONGROCK","LONGROCK","TN","CARROLL","Carroll",1899,1903,TRUE,6,33716,TRUE,4,TRUE,"LONGROCK","CARROLL","TN",1647522,"Populated Place","Longrock","Carroll",36.050617,-88.4008824,147,1,36.050617,-88.4008824,"1-50"
"LOON LAKE","LOON LAKE","ME","FRANKLIN","Franklin",1915,1934,TRUE,4,33790,TRUE,19,TRUE,"LOON LAKE","FRANKLIN","ME",1908357,"Populated Place","Loon Lake","Franklin",45.008388,-70.6381236,521,1,45.008388,-70.6381236,"1-50"
"LORIS","LORIS","SC","HORRY","Horry",1886,NA,TRUE,0,33851,TRUE,150,TRUE,"LORIS","HORRY","SC",2489858,"Post Office","Loris Post Office","Horry",34.051226,-78.8935868,28,1,34.051226,-78.8935868,">=100"
"LOUDEN","LOUDEN","NJ","CAMDEN","Camden",1900,1913,TRUE,4,33926,TRUE,13,TRUE,"LOUDEN","CAMDEN","NJ",877943,"Populated Place","Louden","Camden",39.7756714,-74.8746074,45,1,39.7756714,-74.8746074,"1-50"
"LOUTRE  ISLAND","LOUTRE  ISLAND","MO","MONTGOMERY","Montgomery/Warren",1818,1894,FALSE,4,33981,TRUE,76,TRUE,"LOUTRE ISLAND","MONTGOMERY","MO",721616,"Cemetery","Loutre Island Cemetery","Montgomery",38.7550029,-91.4688244,167,0.928571428571429,38.7550029,-91.4688244,"50-100"
"LOWELL","LOWELL","MO","ST. LOUIS","St. Louis",1870,1873,TRUE,7,34045,TRUE,3,TRUE,"LOWELL","ST. LOUIS","MO",765712,"School","Lowell School","St. Louis (city)",38.677273,-90.2101112,152,1,38.677273,-90.2101112,"1-50"
"LOWNDESVILLE","LOWNDESVILLE","SC","ABBEVILLE","Abbeville",1836,NA,TRUE,0,34109,TRUE,150,TRUE,"LOWNDESVILLE","ABBEVILLE","SC",1252062,"Post Office","Lowndesville Post Office","Abbeville",34.2106733,-82.6452718,178,1,34.2106733,-82.6452718,">=100"
"LUCERNE","LUCERNE","MO","PUTNAM","Putnam",1887,NA,TRUE,0,34173,TRUE,150,TRUE,"LUCERNE","PUTNAM","MO",2783149,"Post Office","Lucerne Post Office","Putnam",40.4638497,-93.2894318,295,1,40.4638497,-93.2894318,">=100"
"LUDLOW","LUDLOW","PA","MCKEAN","McKean",1871,NA,TRUE,0,34236,TRUE,150,TRUE,"LUDLOW","MCKEAN","PA",2779784,"Post Office","Ludlow Post Office","McKean",41.7333809,-78.9476833,467,1,41.7333809,-78.9476833,">=100"
"LUMBULL","LUMBULL","AL","MARION","Marion",1912,1919,TRUE,5,34295,TRUE,7,TRUE,"LUMBULL","MARION","AL",156639,"Populated Place","Lumbull","Marion",34.2531531,-87.7314172,281,1,34.2531531,-87.7314172,"1-50"
"LUTHER","LUTHER","TN","HANCOCK","Hancock",1880,1954,TRUE,1,34344,TRUE,74,TRUE,"LUTHER","HANCOCK","TN",1315450,"Populated Place","Luther","Hancock",36.4609223,-83.2401745,378,1,36.4609223,-83.2401745,"50-100"
"LYLE","LYLE","AL","COOSA","Coosa",1894,1905,TRUE,5,34409,TRUE,11,TRUE,"LYLE","COOSA","AL",156642,"Populated Place","Lyle","Coosa",32.888735,-86.3352522,171,1,32.888735,-86.3352522,"1-50"
"LYNEVILLE","LYNEVILLE","GA","TALIAFERRO","Taliaferro",1886,1902,TRUE,5,34470,TRUE,16,TRUE,"LYNEVILLE","TALIAFERRO","GA",326382,"Populated Place","Lyneville","Taliaferro",33.6359619,-82.9295917,162,1,33.6359619,-82.9295917,"1-50"
"MCDOUGALL","M(A)CDOUGALL('S)","NY","SENECA","Seneca",1876,1983,TRUE,1,34527,TRUE,107,TRUE,"MACDOUGALL'S","SENECA","NY",956220,"Populated Place","MacDougall's","Seneca",42.8064572,-76.8794037,190,1,42.8064572,-76.8794037,">=100"
